Letter reference,Author name,Author API,Author gender,Author DOB,Relation to recipient,Recipient,Recipient API,Recipient gender,Recipient DOB,Relation to author,Change from 2006?,Order of Gardiner letters in file
ARUNDEL_020,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_021,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_022,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMAT(DNB),MALE,1573,,HORACE_VERE,BARON/ARMY_OFFICER(DNB),MALE,1565,,ok,
ARUNDEL_023,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_024,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_025,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_026,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_027,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_028,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,corrected,
ARUNDEL_029,INIGO_JONES,ARCHITECT,MALE,1573,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_030,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMAT(DNB),MALE,1573,,ok,
ARUNDEL_031,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMAT(DNB),MALE,1573,,ok,
ARUNDEL_032,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,DUDLEY_CARLETON,VISCOUNT_DORCHESTER/DIPLOMAT(DNB),MALE,1573,,ok,
ARUNDEL_033,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,HUMPHREY_HAGGETT,,MALE,,,ok,
ARUNDEL_034,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,THOMAS_ROE,SIR/DIPLOMAT(DNB),MALE,1581,,ok,
ARUNDEL_035,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,THOMAS_ROE,SIR/DIPLOMAT(DNB),MALE,1581,,ok,
ARUNDEL_036,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,THOMAS_ROE,SIR/DIPLOMAT(DNB),MALE,1581,,ok,
ARUNDEL_037,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,THOMAS_ROE,SIR/DIPLOMAT(DNB),MALE,1581,,ok,
ARUNDEL_038,THOMAS_WENTWORTH,1ST_EARL_OF_STRAFFORD/LORD_LIEUTENANT_OF_IRELAND,MALE,1593,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_039,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_040,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_041,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,RICHARD_PLUMLEIGH,CAPTAIN,MALE,,,ok,
ARUNDEL_042,RICHARD_PLUMLEIGH,CAPTAIN,MALE,,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_043,RICHARD_PLUMLEIGH,CAPTAIN,MALE,,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_044,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,,ok,
ARUNDEL_045,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,CHARLES_STUART_I,KING_OF_ENGLAND,MALE,1600,,ok,
ARUNDEL_046,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,CHARLES_STUART_I,KING_OF_ENGLAND,MALE,1600,,ok,
ARUNDEL_047,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
ARUNDEL_048,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_049,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_050,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_051,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_052,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,FRANCIS_WINDEBANK,SIR/POLITICIAN(DNB),MALE,1582,,ok,
ARUNDEL_053,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,FRANCIS_WINDEBANK,SIR/POLITICIAN(DNB),MALE,1582,,ok,
ARUNDEL_054,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,FRANCIS_WINDEBANK,SIR/POLITICIAN(DNB),MALE,1582,,ok,
ARUNDEL_055,ELIZABETH_STUART,QUEEN_OF_BOHEMIA,FEMALE,1596,,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,,corrected,
ARUNDEL_056,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,WIFE,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,HUSBAND,ok,
ARUNDEL_057,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_058,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_059,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_060,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_061,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_062,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_063,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_064,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_065,HENRY_FREDERICK_HOWARD,3RD_EARL_OF_ARUNDEL_AND_SURREY,MALE,1608,,WILLIAM_PETTY_2,REVEREND,MALE,,FAMILY_SERVANT,ok,
ARUNDEL_066,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,FRANCIS_WINDEBANK,SIR/POLITICIAN(DNB),MALE,1582,,ok,
ARUNDEL_067,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,FRANCIS_WINDEBANK,SIR/POLITICIAN(DNB),MALE,1582,,ok,
ARUNDEL_068,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,JOHN_PENNINGTON,ADMIRAL,MALE,,,ok,
ARUNDEL_069,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,JOHN_PENNINGTON,ADMIRAL,MALE,,,ok,
ARUNDEL_070,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,JOHN_PENNINGTON,ADMIRAL,MALE,,,ok,
ARUNDEL_071,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,SON,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,MOTHER,ok,
ARUNDEL_072,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,SON,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,FATHER,ok,
ARUNDEL_073,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,SON,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,FATHER,ok,
ARUNDEL_074,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,SON,ALETHEIA_HOWARD[N.TALBOT],COUNTESS_OF_ARUNDEL,FEMALE,1585?,MOTHER,ok,
ARUNDEL_075,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,RICHARD_BROWNE,SIR/KING'S_RESIDENT,MALE,1605,,ok,
ARUNDEL_076,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,RICHARD_BROWNE,SIR/KING'S_RESIDENT,MALE,1605,,ok,
ARUNDEL_077,WILLIAM_HOWARD,VISCOUNT_STAFFORD,MALE,1611,KIN,MARY_HOWARD[N._MORDAUNT],COUNTESS_OF_ARUNDEL,FEMALE,1659,KIN,corrected,
ARUNDEL_078,WILLIAM_SMITH,ARTIST,MALE,,,THOMAS_HOWARD_III,2ND_EARL_OF_ARUNDEL_AND_SURREY/POLITICIAN(DNB),MALE,1585,,ok,
BACON_001,NICHOLAS_BACON_II,SIR,MALE,1543,BROTHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER,ok,
BACON_002,CHARLES_MORRISON,LAWYER,MALE,1549?,,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_003,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ANTHONY_STRINGER,,MALE,,,ok,
BACON_004,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON-IN-LAW,ANNE_GRESHAM[N.FERNELEY],LADY,FEMALE,,MOTHER-IN-LAW,ok,
BACON_005,STEPHEN_NEVINSON,RECTOR_OF_STIFFKEY,MALE,,SON,REGINALD_WOLFE,,MALE,,FATHER,ok,
BACON_006,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_007,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ANNE_BACON[N.COOKE],LADY,FEMALE,1528,MOTHER,ok,
BACON_008,ANNE_BACON[N.GRESHAM],,FEMALE,,DAUGHTER-IN-LAW,ANNE_BACON[N.COOKE],LADY,FEMALE,1528,MOTHER-IN-LAW,ok,
BACON_009,ANNE_BACON[N.GRESHAM],,FEMALE,,NATURAL_DAUGHTER,WINEFRED_DUTTON,MISTRESS,FEMALE,,NATURAL_MOTHER,ok,
BACON_010,ANNE_BACON[N.GRESHAM],,FEMALE,,DAUGHTER,ANNE_GRESHAM[N.FERNELEY],LADY,FEMALE,,MOTHER,ok,
BACON_011,ANNE_BACON[N.GRESHAM],,FEMALE,,BASE_DAUGHTER,THOMAS_GRESHAM,SIR,MALE,1519?,FATHER,ok,
BACON_012,JOHN_MOUNFORD,BAILIFF,MALE,,FAMILY_SERVANT/BAILIFF,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,,ok,
BACON_013,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NICHOLAS_BACON_II,SIR,MALE,1543,SON,ok,
BACON_014,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_015,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_016,ROBERT_BLACKMAN,DEPUTY_CUSTOMER_OF_YARMOUTH,MALE,,COUSIN,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,COUSIN,ok,
BACON_017,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,FATHER-IN-LAW,THOMAS_GRESHAM,SIR,MALE,1519?,SON-IN-LAW,ok,
BACON_018,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_019,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,BROTHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER,ok,
BACON_020,FRANCIS_WYNDHAM,,MALE,,BROTHER-IN-LAW,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER-IN-LAW,ok,
BACON_021,ANTHONY_STRINGER,,MALE,,,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_022,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_023,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON-IN-LAW,ANNE_GRESHAM[N.FERNELEY],LADY,FEMALE,,MOTHER-IN-LAW,ok,
BACON_024,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_025,FRANCIS_WYNDHAM,,MALE,,BROTHER-IN-LAW,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER-IN-LAW,ok,
BACON_026,EDWARD_BACON,SIR,MALE,1548?,BROTHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER,ok,
BACON_027,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ok,
BACON_028,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ok,
BACON_029,EDWARD_BACON,SIR,MALE,1548?,BROTHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER,ok,
BACON_030,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_031,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_032,EDWARD_GRIMSTONE,LAWYER,MALE,1528?,,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_033,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ok,
BACON_034,NICHOLAS_BACON_II,SIR,MALE,1543,BROTHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,BROTHER,ok,
BACON_035,ANNE_BACON[N.GRESHAM],,FEMALE,,DAUGHTER,ANNE_GRESHAM[N.FERNELEY],LADY,FEMALE,,MOTHER,ok,
BACON_036,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ok,
BACON_037,JOHN_MOUNFORD,BAILIFF,MALE,,FAMILY_SERVANT/BAILIFF,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_038,EDWARD_STANHAWE,TENANT?,MALE,,,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_039,JOHN_MOUNFORD,BAILIFF,MALE,,FAMILY_SERVANT/BAILIFF,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
BACON_040,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ANNE_BACON[N.COOKE],LADY,FEMALE,1528,MOTHER,ok,
BACON_041,ANNE_BACON[N.GRESHAM],,FEMALE,,DAUGHTER,ANNE_GRESHAM[N.FERNELEY],LADY,FEMALE,,MOTHER,ok,
BACON_042,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_043,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,ok,
BACON_044,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,SON,NICHOLAS_BACON_I,SIR/LORD_KEEPER_OF_THE_GREAT_SEAL,MALE,1510,FATHER,ok,
BACON_045,JOHN_SAUNDERS,,MALE,,,NATHANIEL_BACON_I,SIR/LOCAL_POLITICIAN(DNB),MALE,1546?,,ok,
